work_id,shift_amount,content_npy,style_npy,target_pt
623,1,content_623_shift1.npy,style_623_shift1.npy,target_623_shift1.pt
623,-1,content_623_shift-1.npy,style_623_shift-1.npy,target_623_shift-1.pt
625,0,content_625_shift0.npy,style_625_shift0.npy,target_625_shift0.pt
625,1,content_625_shift1.npy,style_625_shift1.npy,target_625_shift1.pt
625,-1,content_625_shift-1.npy,style_625_shift-1.npy,target_625_shift-1.pt
640,0,content_640_shift0.npy,style_640_shift0.npy,target_640_shift0.pt
640,1,content_640_shift1.npy,style_640_shift1.npy,target_640_shift1.pt
640,-1,content_640_shift-1.npy,style_640_shift-1.npy,target_640_shift-1.pt
652,0,content_652_shift0.npy,style_652_shift0.npy,target_652_shift0.pt
652,1,content_652_shift1.npy,style_652_shift1.npy,target_652_shift1.pt
652,-1,content_652_shift-1.npy,style_652_shift-1.npy,target_652_shift-1.pt
728,0,content_728_shift0.npy,style_728_shift0.npy,target_728_shift0.pt
728,1,content_728_shift1.npy,style_728_shift1.npy,target_728_shift1.pt
728,-1,content_728_shift-1.npy,style_728_shift-1.npy,target_728_shift-1.pt
782,0,content_782_shift0.npy,style_782_shift0.npy,target_782_shift0.pt
782,1,content_782_shift1.npy,style_782_shift1.npy,target_782_shift1.pt
782,-1,content_782_shift-1.npy,style_782_shift-1.npy,target_782_shift-1.pt
787,0,content_787_shift0.npy,style_787_shift0.npy,target_787_shift0.pt
787,1,content_787_shift1.npy,style_787_shift1.npy,target_787_shift1.pt
787,-1,content_787_shift-1.npy,style_787_shift-1.npy,target_787_shift-1.pt
789,0,content_789_shift0.npy,style_789_shift0.npy,target_789_shift0.pt
789,1,content_789_shift1.npy,style_789_shift1.npy,target_789_shift1.pt
789,-1,content_789_shift-1.npy,style_789_shift-1.npy,target_789_shift-1.pt
801,0,content_801_shift0.npy,style_801_shift0.npy,target_801_shift0.pt
801,1,content_801_shift1.npy,style_801_shift1.npy,target_801_shift1.pt
801,-1,content_801_shift-1.npy,style_801_shift-1.npy,target_801_shift-1.pt
803,0,content_803_shift0.npy,style_803_shift0.npy,target_803_shift0.pt
803,1,content_803_shift1.npy,style_803_shift1.npy,target_803_shift1.pt
803,-1,content_803_shift-1.npy,style_803_shift-1.npy,target_803_shift-1.pt
864,0,content_864_shift0.npy,style_864_shift0.npy,target_864_shift0.pt
864,1,content_864_shift1.npy,style_864_shift1.npy,target_864_shift1.pt
864,-1,content_864_shift-1.npy,style_864_shift-1.npy,target_864_shift-1.pt
882,0,content_882_shift0.npy,style_882_shift0.npy,target_882_shift0.pt
882,1,content_882_shift1.npy,style_882_shift1.npy,target_882_shift1.pt
882,-1,content_882_shift-1.npy,style_882_shift-1.npy,target_882_shift-1.pt
890,0,content_890_shift0.npy,style_890_shift0.npy,target_890_shift0.pt
890,1,content_890_shift1.npy,style_890_shift1.npy,target_890_shift1.pt
890,-1,content_890_shift-1.npy,style_890_shift-1.npy,target_890_shift-1.pt
897,0,content_897_shift0.npy,style_897_shift0.npy,target_897_shift0.pt
897,1,content_897_shift1.npy,style_897_shift1.npy,target_897_shift1.pt
897,-1,content_897_shift-1.npy,style_897_shift-1.npy,target_897_shift-1.pt
934,0,content_934_shift0.npy,style_934_shift0.npy,target_934_shift0.pt
934,1,content_934_shift1.npy,style_934_shift1.npy,target_934_shift1.pt
934,-1,content_934_shift-1.npy,style_934_shift-1.npy,target_934_shift-1.pt
1051,0,content_1051_shift0.npy,style_1051_shift0.npy,target_1051_shift0.pt
1051,1,content_1051_shift1.npy,style_1051_shift1.npy,target_1051_shift1.pt
1051,-1,content_1051_shift-1.npy,style_1051_shift-1.npy,target_1051_shift-1.pt
1110,0,content_1110_shift0.npy,style_1110_shift0.npy,target_1110_shift0.pt
1110,1,content_1110_shift1.npy,style_1110_shift1.npy,target_1110_shift1.pt
1110,-1,content_1110_shift-1.npy,style_1110_shift-1.npy,target_1110_shift-1.pt
1120,0,content_1120_shift0.npy,style_1120_shift0.npy,target_1120_shift0.pt
1120,1,content_1120_shift1.npy,style_1120_shift1.npy,target_1120_shift1.pt
1120,-1,content_1120_shift-1.npy,style_1120_shift-1.npy,target_1120_shift-1.pt
1153,0,content_1153_shift0.npy,style_1153_shift0.npy,target_1153_shift0.pt
1153,1,content_1153_shift1.npy,style_1153_shift1.npy,target_1153_shift1.pt
1153,-1,content_1153_shift-1.npy,style_1153_shift-1.npy,target_1153_shift-1.pt
1230,0,content_1230_shift0.npy,style_1230_shift0.npy,target_1230_shift0.pt
1230,1,content_1230_shift1.npy,style_1230_shift1.npy,target_1230_shift1.pt
1230,-1,content_1230_shift-1.npy,style_1230_shift-1.npy,target_1230_shift-1.pt
1276,0,content_1276_shift0.npy,style_1276_shift0.npy,target_1276_shift0.pt
1276,1,content_1276_shift1.npy,style_1276_shift1.npy,target_1276_shift1.pt
1276,-1,content_1276_shift-1.npy,style_1276_shift-1.npy,target_1276_shift-1.pt
1360,0,content_1360_shift0.npy,style_1360_shift0.npy,target_1360_shift0.pt
1360,1,content_1360_shift1.npy,style_1360_shift1.npy,target_1360_shift1.pt
1360,-1,content_1360_shift-1.npy,style_1360_shift-1.npy,target_1360_shift-1.pt
1415,0,content_1415_shift0.npy,style_1415_shift0.npy,target_1415_shift0.pt
1415,1,content_1415_shift1.npy,style_1415_shift1.npy,target_1415_shift1.pt
1415,-1,content_1415_shift-1.npy,style_1415_shift-1.npy,target_1415_shift-1.pt
1440,0,content_1440_shift0.npy,style_1440_shift0.npy,target_1440_shift0.pt
1440,1,content_1440_shift1.npy,style_1440_shift1.npy,target_1440_shift1.pt
1440,-1,content_1440_shift-1.npy,style_1440_shift-1.npy,target_1440_shift-1.pt
1443,0,content_1443_shift0.npy,style_1443_shift0.npy,target_1443_shift0.pt
1443,1,content_1443_shift1.npy,style_1443_shift1.npy,target_1443_shift1.pt
1443,-1,content_1443_shift-1.npy,style_1443_shift-1.npy,target_1443_shift-1.pt
1447,0,content_1447_shift0.npy,style_1447_shift0.npy,target_1447_shift0.pt
1447,1,content_1447_shift1.npy,style_1447_shift1.npy,target_1447_shift1.pt
1447,-1,content_1447_shift-1.npy,style_1447_shift-1.npy,target_1447_shift-1.pt
1454,0,content_1454_shift0.npy,style_1454_shift0.npy,target_1454_shift0.pt
1454,1,content_1454_shift1.npy,style_1454_shift1.npy,target_1454_shift1.pt
1454,-1,content_1454_shift-1.npy,style_1454_shift-1.npy,target_1454_shift-1.pt
1466,0,content_1466_shift0.npy,style_1466_shift0.npy,target_1466_shift0.pt
1466,1,content_1466_shift1.npy,style_1466_shift1.npy,target_1466_shift1.pt
1466,-1,content_1466_shift-1.npy,style_1466_shift-1.npy,target_1466_shift-1.pt
1593,0,content_1593_shift0.npy,style_1593_shift0.npy,target_1593_shift0.pt
1593,1,content_1593_shift1.npy,style_1593_shift1.npy,target_1593_shift1.pt
1593,-1,content_1593_shift-1.npy,style_1593_shift-1.npy,target_1593_shift-1.pt
1614,0,content_1614_shift0.npy,style_1614_shift0.npy,target_1614_shift0.pt
1614,1,content_1614_shift1.npy,style_1614_shift1.npy,target_1614_shift1.pt
1614,-1,content_1614_shift-1.npy,style_1614_shift-1.npy,target_1614_shift-1.pt
1634,0,content_1634_shift0.npy,style_1634_shift0.npy,target_1634_shift0.pt
1634,1,content_1634_shift1.npy,style_1634_shift1.npy,target_1634_shift1.pt
1634,-1,content_1634_shift-1.npy,style_1634_shift-1.npy,target_1634_shift-1.pt
1636,0,content_1636_shift0.npy,style_1636_shift0.npy,target_1636_shift0.pt
1636,1,content_1636_shift1.npy,style_1636_shift1.npy,target_1636_shift1.pt
1636,-1,content_1636_shift-1.npy,style_1636_shift-1.npy,target_1636_shift-1.pt
1650,0,content_1650_shift0.npy,style_1650_shift0.npy,target_1650_shift0.pt
1650,1,content_1650_shift1.npy,style_1650_shift1.npy,target_1650_shift1.pt
1650,-1,content_1650_shift-1.npy,style_1650_shift-1.npy,target_1650_shift-1.pt
1743,0,content_1743_shift0.npy,style_1743_shift0.npy,target_1743_shift0.pt
1743,1,content_1743_shift1.npy,style_1743_shift1.npy,target_1743_shift1.pt
1743,-1,content_1743_shift-1.npy,style_1743_shift-1.npy,target_1743_shift-1.pt
1758,0,content_1758_shift0.npy,style_1758_shift0.npy,target_1758_shift0.pt
1758,1,content_1758_shift1.npy,style_1758_shift1.npy,target_1758_shift1.pt
1758,-1,content_1758_shift-1.npy,style_1758_shift-1.npy,target_1758_shift-1.pt
1786,0,content_1786_shift0.npy,style_1786_shift0.npy,target_1786_shift0.pt
1786,1,content_1786_shift1.npy,style_1786_shift1.npy,target_1786_shift1.pt
1786,-1,content_1786_shift-1.npy,style_1786_shift-1.npy,target_1786_shift-1.pt
1884,0,content_1884_shift0.npy,style_1884_shift0.npy,target_1884_shift0.pt
1884,1,content_1884_shift1.npy,style_1884_shift1.npy,target_1884_shift1.pt
1884,-1,content_1884_shift-1.npy,style_1884_shift-1.npy,target_1884_shift-1.pt
1894,0,content_1894_shift0.npy,style_1894_shift0.npy,target_1894_shift0.pt
1894,1,content_1894_shift1.npy,style_1894_shift1.npy,target_1894_shift1.pt
1894,-1,content_1894_shift-1.npy,style_1894_shift-1.npy,target_1894_shift-1.pt
1954,0,content_1954_shift0.npy,style_1954_shift0.npy,target_1954_shift0.pt
1954,1,content_1954_shift1.npy,style_1954_shift1.npy,target_1954_shift1.pt
1954,-1,content_1954_shift-1.npy,style_1954_shift-1.npy,target_1954_shift-1.pt
1969,0,content_1969_shift0.npy,style_1969_shift0.npy,target_1969_shift0.pt
1969,1,content_1969_shift1.npy,style_1969_shift1.npy,target_1969_shift1.pt
1969,-1,content_1969_shift-1.npy,style_1969_shift-1.npy,target_1969_shift-1.pt
2061,0,content_2061_shift0.npy,style_2061_shift0.npy,target_2061_shift0.pt
2061,1,content_2061_shift1.npy,style_2061_shift1.npy,target_2061_shift1.pt
2061,-1,content_2061_shift-1.npy,style_2061_shift-1.npy,target_2061_shift-1.pt
2106,0,content_2106_shift0.npy,style_2106_shift0.npy,target_2106_shift0.pt
2106,1,content_2106_shift1.npy,style_2106_shift1.npy,target_2106_shift1.pt
2106,-1,content_2106_shift-1.npy,style_2106_shift-1.npy,target_2106_shift-1.pt
2143,0,content_2143_shift0.npy,style_2143_shift0.npy,target_2143_shift0.pt
2143,1,content_2143_shift1.npy,style_2143_shift1.npy,target_2143_shift1.pt
2143,-1,content_2143_shift-1.npy,style_2143_shift-1.npy,target_2143_shift-1.pt
2196,0,content_2196_shift0.npy,style_2196_shift0.npy,target_2196_shift0.pt
2196,1,content_2196_shift1.npy,style_2196_shift1.npy,target_2196_shift1.pt
2196,-1,content_2196_shift-1.npy,style_2196_shift-1.npy,target_2196_shift-1.pt
2204,0,content_2204_shift0.npy,style_2204_shift0.npy,target_2204_shift0.pt
2204,1,content_2204_shift1.npy,style_2204_shift1.npy,target_2204_shift1.pt
2204,-1,content_2204_shift-1.npy,style_2204_shift-1.npy,target_2204_shift-1.pt
2325,0,content_2325_shift0.npy,style_2325_shift0.npy,target_2325_shift0.pt
2325,1,content_2325_shift1.npy,style_2325_shift1.npy,target_2325_shift1.pt
2325,-1,content_2325_shift-1.npy,style_2325_shift-1.npy,target_2325_shift-1.pt
2327,0,content_2327_shift0.npy,style_2327_shift0.npy,target_2327_shift0.pt
2327,1,content_2327_shift1.npy,style_2327_shift1.npy,target_2327_shift1.pt
2327,-1,content_2327_shift-1.npy,style_2327_shift-1.npy,target_2327_shift-1.pt
2402,0,content_2402_shift0.npy,style_2402_shift0.npy,target_2402_shift0.pt
2402,1,content_2402_shift1.npy,style_2402_shift1.npy,target_2402_shift1.pt
2402,-1,content_2402_shift-1.npy,style_2402_shift-1.npy,target_2402_shift-1.pt
2407,0,content_2407_shift0.npy,style_2407_shift0.npy,target_2407_shift0.pt
2407,1,content_2407_shift1.npy,style_2407_shift1.npy,target_2407_shift1.pt
2407,-1,content_2407_shift-1.npy,style_2407_shift-1.npy,target_2407_shift-1.pt
2461,0,content_2461_shift0.npy,style_2461_shift0.npy,target_2461_shift0.pt
2461,1,content_2461_shift1.npy,style_2461_shift1.npy,target_2461_shift1.pt
2461,-1,content_2461_shift-1.npy,style_2461_shift-1.npy,target_2461_shift-1.pt
2474,0,content_2474_shift0.npy,style_2474_shift0.npy,target_2474_shift0.pt
2474,1,content_2474_shift1.npy,style_2474_shift1.npy,target_2474_shift1.pt
2474,-1,content_2474_shift-1.npy,style_2474_shift-1.npy,target_2474_shift-1.pt
2606,0,content_2606_shift0.npy,style_2606_shift0.npy,target_2606_shift0.pt
2606,1,content_2606_shift1.npy,style_2606_shift1.npy,target_2606_shift1.pt
2606,-1,content_2606_shift-1.npy,style_2606_shift-1.npy,target_2606_shift-1.pt
2633,0,content_2633_shift0.npy,style_2633_shift0.npy,target_2633_shift0.pt
2633,1,content_2633_shift1.npy,style_2633_shift1.npy,target_2633_shift1.pt
2633,-1,content_2633_shift-1.npy,style_2633_shift-1.npy,target_2633_shift-1.pt
2637,0,content_2637_shift0.npy,style_2637_shift0.npy,target_2637_shift0.pt
2637,1,content_2637_shift1.npy,style_2637_shift1.npy,target_2637_shift1.pt
2637,-1,content_2637_shift-1.npy,style_2637_shift-1.npy,target_2637_shift-1.pt
2647,0,content_2647_shift0.npy,style_2647_shift0.npy,target_2647_shift0.pt
2647,1,content_2647_shift1.npy,style_2647_shift1.npy,target_2647_shift1.pt
2647,-1,content_2647_shift-1.npy,style_2647_shift-1.npy,target_2647_shift-1.pt
2656,0,content_2656_shift0.npy,style_2656_shift0.npy,target_2656_shift0.pt
2656,1,content_2656_shift1.npy,style_2656_shift1.npy,target_2656_shift1.pt
2656,-1,content_2656_shift-1.npy,style_2656_shift-1.npy,target_2656_shift-1.pt
2835,0,content_2835_shift0.npy,style_2835_shift0.npy,target_2835_shift0.pt
2835,1,content_2835_shift1.npy,style_2835_shift1.npy,target_2835_shift1.pt
2835,-1,content_2835_shift-1.npy,style_2835_shift-1.npy,target_2835_shift-1.pt
2841,0,content_2841_shift0.npy,style_2841_shift0.npy,target_2841_shift0.pt
2841,1,content_2841_shift1.npy,style_2841_shift1.npy,target_2841_shift1.pt
2841,-1,content_2841_shift-1.npy,style_2841_shift-1.npy,target_2841_shift-1.pt
2968,0,content_2968_shift0.npy,style_2968_shift0.npy,target_2968_shift0.pt
2968,1,content_2968_shift1.npy,style_2968_shift1.npy,target_2968_shift1.pt
2968,-1,content_2968_shift-1.npy,style_2968_shift-1.npy,target_2968_shift-1.pt
3086,0,content_3086_shift0.npy,style_3086_shift0.npy,target_3086_shift0.pt
3086,1,content_3086_shift1.npy,style_3086_shift1.npy,target_3086_shift1.pt
3086,-1,content_3086_shift-1.npy,style_3086_shift-1.npy,target_3086_shift-1.pt
3101,0,content_3101_shift0.npy,style_3101_shift0.npy,target_3101_shift0.pt
3101,1,content_3101_shift1.npy,style_3101_shift1.npy,target_3101_shift1.pt
3101,-1,content_3101_shift-1.npy,style_3101_shift-1.npy,target_3101_shift-1.pt
3105,0,content_3105_shift0.npy,style_3105_shift0.npy,target_3105_shift0.pt
3105,1,content_3105_shift1.npy,style_3105_shift1.npy,target_3105_shift1.pt
3105,-1,content_3105_shift-1.npy,style_3105_shift-1.npy,target_3105_shift-1.pt
3165,0,content_3165_shift0.npy,style_3165_shift0.npy,target_3165_shift0.pt
3165,1,content_3165_shift1.npy,style_3165_shift1.npy,target_3165_shift1.pt
3165,-1,content_3165_shift-1.npy,style_3165_shift-1.npy,target_3165_shift-1.pt
3174,0,content_3174_shift0.npy,style_3174_shift0.npy,target_3174_shift0.pt
3174,1,content_3174_shift1.npy,style_3174_shift1.npy,target_3174_shift1.pt
3174,-1,content_3174_shift-1.npy,style_3174_shift-1.npy,target_3174_shift-1.pt
3185,0,content_3185_shift0.npy,style_3185_shift0.npy,target_3185_shift0.pt
3185,1,content_3185_shift1.npy,style_3185_shift1.npy,target_3185_shift1.pt
3185,-1,content_3185_shift-1.npy,style_3185_shift-1.npy,target_3185_shift-1.pt
3199,0,content_3199_shift0.npy,style_3199_shift0.npy,target_3199_shift0.pt
3199,1,content_3199_shift1.npy,style_3199_shift1.npy,target_3199_shift1.pt
3199,-1,content_3199_shift-1.npy,style_3199_shift-1.npy,target_3199_shift-1.pt
3276,0,content_3276_shift0.npy,style_3276_shift0.npy,target_3276_shift0.pt
3276,1,content_3276_shift1.npy,style_3276_shift1.npy,target_3276_shift1.pt
3276,-1,content_3276_shift-1.npy,style_3276_shift-1.npy,target_3276_shift-1.pt
3493,0,content_3493_shift0.npy,style_3493_shift0.npy,target_3493_shift0.pt
3493,1,content_3493_shift1.npy,style_3493_shift1.npy,target_3493_shift1.pt
3493,-1,content_3493_shift-1.npy,style_3493_shift-1.npy,target_3493_shift-1.pt
3576,0,content_3576_shift0.npy,style_3576_shift0.npy,target_3576_shift0.pt
3576,1,content_3576_shift1.npy,style_3576_shift1.npy,target_3576_shift1.pt
3576,-1,content_3576_shift-1.npy,style_3576_shift-1.npy,target_3576_shift-1.pt
3684,0,content_3684_shift0.npy,style_3684_shift0.npy,target_3684_shift0.pt
3684,1,content_3684_shift1.npy,style_3684_shift1.npy,target_3684_shift1.pt
3684,-1,content_3684_shift-1.npy,style_3684_shift-1.npy,target_3684_shift-1.pt
3708,0,content_3708_shift0.npy,style_3708_shift0.npy,target_3708_shift0.pt
3708,1,content_3708_shift1.npy,style_3708_shift1.npy,target_3708_shift1.pt
3708,-1,content_3708_shift-1.npy,style_3708_shift-1.npy,target_3708_shift-1.pt
3798,0,content_3798_shift0.npy,style_3798_shift0.npy,target_3798_shift0.pt
3798,1,content_3798_shift1.npy,style_3798_shift1.npy,target_3798_shift1.pt
3798,-1,content_3798_shift-1.npy,style_3798_shift-1.npy,target_3798_shift-1.pt
3816,0,content_3816_shift0.npy,style_3816_shift0.npy,target_3816_shift0.pt
3816,1,content_3816_shift1.npy,style_3816_shift1.npy,target_3816_shift1.pt
3816,-1,content_3816_shift-1.npy,style_3816_shift-1.npy,target_3816_shift-1.pt
3839,0,content_3839_shift0.npy,style_3839_shift0.npy,target_3839_shift0.pt
3839,1,content_3839_shift1.npy,style_3839_shift1.npy,target_3839_shift1.pt
3839,-1,content_3839_shift-1.npy,style_3839_shift-1.npy,target_3839_shift-1.pt
3856,0,content_3856_shift0.npy,style_3856_shift0.npy,target_3856_shift0.pt
3856,1,content_3856_shift1.npy,style_3856_shift1.npy,target_3856_shift1.pt
3856,-1,content_3856_shift-1.npy,style_3856_shift-1.npy,target_3856_shift-1.pt
3860,0,content_3860_shift0.npy,style_3860_shift0.npy,target_3860_shift0.pt
3860,1,content_3860_shift1.npy,style_3860_shift1.npy,target_3860_shift1.pt
3860,-1,content_3860_shift-1.npy,style_3860_shift-1.npy,target_3860_shift-1.pt
3875,0,content_3875_shift0.npy,style_3875_shift0.npy,target_3875_shift0.pt
3875,1,content_3875_shift1.npy,style_3875_shift1.npy,target_3875_shift1.pt
3875,-1,content_3875_shift-1.npy,style_3875_shift-1.npy,target_3875_shift-1.pt
3880,0,content_3880_shift0.npy,style_3880_shift0.npy,target_3880_shift0.pt
3880,1,content_3880_shift1.npy,style_3880_shift1.npy,target_3880_shift1.pt
3880,-1,content_3880_shift-1.npy,style_3880_shift-1.npy,target_3880_shift-1.pt
3882,0,content_3882_shift0.npy,style_3882_shift0.npy,target_3882_shift0.pt
3882,1,content_3882_shift1.npy,style_3882_shift1.npy,target_3882_shift1.pt
3882,-1,content_3882_shift-1.npy,style_3882_shift-1.npy,target_3882_shift-1.pt
3902,0,content_3902_shift0.npy,style_3902_shift0.npy,target_3902_shift0.pt
3902,1,content_3902_shift1.npy,style_3902_shift1.npy,target_3902_shift1.pt
3902,-1,content_3902_shift-1.npy,style_3902_shift-1.npy,target_3902_shift-1.pt
3917,0,content_3917_shift0.npy,style_3917_shift0.npy,target_3917_shift0.pt
3917,1,content_3917_shift1.npy,style_3917_shift1.npy,target_3917_shift1.pt
3917,-1,content_3917_shift-1.npy,style_3917_shift-1.npy,target_3917_shift-1.pt
3976,0,content_3976_shift0.npy,style_3976_shift0.npy,target_3976_shift0.pt
3976,1,content_3976_shift1.npy,style_3976_shift1.npy,target_3976_shift1.pt
3976,-1,content_3976_shift-1.npy,style_3976_shift-1.npy,target_3976_shift-1.pt
3980,0,content_3980_shift0.npy,style_3980_shift0.npy,target_3980_shift0.pt
3980,1,content_3980_shift1.npy,style_3980_shift1.npy,target_3980_shift1.pt
3980,-1,content_3980_shift-1.npy,style_3980_shift-1.npy,target_3980_shift-1.pt
4037,0,content_4037_shift0.npy,style_4037_shift0.npy,target_4037_shift0.pt
4037,1,content_4037_shift1.npy,style_4037_shift1.npy,target_4037_shift1.pt
4037,-1,content_4037_shift-1.npy,style_4037_shift-1.npy,target_4037_shift-1.pt
4066,0,content_4066_shift0.npy,style_4066_shift0.npy,target_4066_shift0.pt
4066,1,content_4066_shift1.npy,style_4066_shift1.npy,target_4066_shift1.pt
4066,-1,content_4066_shift-1.npy,style_4066_shift-1.npy,target_4066_shift-1.pt
4103,0,content_4103_shift0.npy,style_4103_shift0.npy,target_4103_shift0.pt
4103,1,content_4103_shift1.npy,style_4103_shift1.npy,target_4103_shift1.pt
4103,-1,content_4103_shift-1.npy,style_4103_shift-1.npy,target_4103_shift-1.pt
4116,0,content_4116_shift0.npy,style_4116_shift0.npy,target_4116_shift0.pt
4116,1,content_4116_shift1.npy,style_4116_shift1.npy,target_4116_shift1.pt
4116,-1,content_4116_shift-1.npy,style_4116_shift-1.npy,target_4116_shift-1.pt
4131,0,content_4131_shift0.npy,style_4131_shift0.npy,target_4131_shift0.pt
4131,1,content_4131_shift1.npy,style_4131_shift1.npy,target_4131_shift1.pt
4131,-1,content_4131_shift-1.npy,style_4131_shift-1.npy,target_4131_shift-1.pt
4195,0,content_4195_shift0.npy,style_4195_shift0.npy,target_4195_shift0.pt
4195,1,content_4195_shift1.npy,style_4195_shift1.npy,target_4195_shift1.pt
4195,-1,content_4195_shift-1.npy,style_4195_shift-1.npy,target_4195_shift-1.pt
4232,0,content_4232_shift0.npy,style_4232_shift0.npy,target_4232_shift0.pt
4232,1,content_4232_shift1.npy,style_4232_shift1.npy,target_4232_shift1.pt
4232,-1,content_4232_shift-1.npy,style_4232_shift-1.npy,target_4232_shift-1.pt
4249,0,content_4249_shift0.npy,style_4249_shift0.npy,target_4249_shift0.pt
4249,1,content_4249_shift1.npy,style_4249_shift1.npy,target_4249_shift1.pt
4249,-1,content_4249_shift-1.npy,style_4249_shift-1.npy,target_4249_shift-1.pt
4351,0,content_4351_shift0.npy,style_4351_shift0.npy,target_4351_shift0.pt
4351,1,content_4351_shift1.npy,style_4351_shift1.npy,target_4351_shift1.pt
4351,-1,content_4351_shift-1.npy,style_4351_shift-1.npy,target_4351_shift-1.pt
